City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
344,kerikeri,-35.2268,173.9474,22.17,84,94,0.89,NZ,1709010626
345,waingapu,-9.6567,120.2641,30.73,69,23,3.3,ID,1709010627
346,pokrovsk,48.282,37.1758,-1.71,60,99,6.17,UA,1709010627
347,sandnessjoen,66.0217,12.6316,2.06,75,75,7.72,NO,1709010627
348,gokceada,40.2011,25.909,6.6,75,21,4.19,TR,1709010628
349,kaduy,59.2,37.15,0.04,98,100,3.02,RU,1709010628
350,nova sintra,14.8667,-24.7167,19.53,76,30,7.51,CV,1709010628
351,lata,40.1629,-8.3327,5.6,91,3,1.84,PT,1709010629
352,frederico westphalen,-27.3592,-53.3944,20.75,99,100,1.19,BR,1709010629
353,nar'yan-mar,67.6713,53.087,-1.05,94,100,7.6,RU,1709010381
354,northam,51.0333,-4.2167,4.24,79,88,2.5,GB,1709010630
355,tolanaro,-25.0319,46.9987,26.86,80,3,5.46,MG,1709010630
356,capilla de guadalupe,20.8333,-102.5833,18.2,25,8,0.85,MX,1709010630
357,geraldton,-28.7667,114.6,28.23,51,77,9.26,AU,1709010631
358,beau vallon,-20.4189,57.6953,29.56,75,23,7.46,MU,1709010631
